datetime,channel,model,learning_method,RMSE,PC
2022-07-10T15:00:17Z,entertainment,B: shares ~ is_weekend + all numeric vars,Linear_Regression,7677.335551,PC2
2022-07-10T15:00:17Z,entertainment,A: shares ~ weekday + selected numeric vars,Linear_Regression,7734.237613,PC2
2022-07-10T15:00:17Z,entertainment,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,7741.483876,PC2
2022-07-10T15:00:17Z,entertainment,A: shares ~ weekday + selected numeric vars,Boosted_Tree,7771.478729,PC2
2022-07-10T15:23:20Z,socmed,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T15:23:20Z,socmed,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T15:23:20Z,socmed,A: shares ~ weekday + selected numeric vars,Linear_Regression,4118.489537,PC2
2022-07-10T15:23:20Z,socmed,A: shares ~ weekday + selected numeric vars,Boosted_Tree,4120.786613,PC2
2022-07-10T15:23:20Z,socmed,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,4126.635916,PC2
2022-07-10T15:23:20Z,socmed,B: shares ~ is_weekend + all numeric vars,Linear_Regression,4179.68235,PC2
2022-07-10T15:24:24Z,misc,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T15:24:24Z,misc,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T15:24:24Z,misc,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,23686.28509,PC2
2022-07-10T15:24:24Z,misc,A: shares ~ weekday + selected numeric vars,Linear_Regression,23698.14511,PC2
2022-07-10T15:24:24Z,misc,A: shares ~ weekday + selected numeric vars,Boosted_Tree,23724.42715,PC2
2022-07-10T15:24:24Z,misc,B: shares ~ is_weekend + all numeric vars,Linear_Regression,23740.76249,PC2
2022-07-10T15:25:48Z,world,B: shares ~ is_weekend + all numeric vars,Linear_Regression,3674.695808,PC2
2022-07-10T15:25:48Z,world,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,3676.524597,PC2
2022-07-10T15:25:48Z,world,A: shares ~ weekday + selected numeric vars,Linear_Regression,3697.256102,PC2
2022-07-10T15:25:48Z,world,A: shares ~ weekday + selected numeric vars,Boosted_Tree,3748.142497,PC2
2022-07-10T15:25:48Z,world,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T15:25:48Z,world,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T15:26:18Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
2022-07-10T15:26:18Z,lifestyle,A: shares ~ weekday + selected numeric vars,Random_Forests,4068.105301,PC2
2022-07-10T15:26:18Z,lifestyle,A: shares ~ weekday + selected numeric vars,Boosted_Tree,10406.63815,PC2
2022-07-10T15:26:18Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Boosted_Tree,10408.06079,PC2
2022-07-10T15:26:18Z,lifestyle,A: shares ~ weekday + selected numeric vars,Linear_Regression,10453.59905,PC2
2022-07-10T15:26:18Z,lifestyle,B: shares ~ is_weekend + all numeric vars,Linear_Regression,10476.04931,PC2
2022-07-10T15:27:35Z,tech,B: shares ~ is_weekend + all numeric vars,Random_Forests,4043.297037,PC2
